amplicon,chromosome,start,end,homopolymer_regions,homopolymer_anchors
Pf3D7_09_v3_270915_271160_1A,Pf3D7_09_v3,270942,271136,NA,NA
Pf3D7_09_v3_516735_517007_1A,Pf3D7_09_v3,516767,516980,NA,NA
Pf3D7_09_v3_595828_596094_1A,Pf3D7_09_v3,595861,596063,NA,NA
Pf3D7_09_v3_685560_685825_1A,Pf3D7_09_v3,685588,685792,NA,NA
Pf3D7_09_v3_1015103_1015350_1A,Pf3D7_09_v3,1015131,1015317,NA,NA
Pf3D7_09_v3_1406342_1406614_1A,Pf3D7_09_v3,1406372,1406581,NA,NA
Pf3D7_10_v3_490605_490877_1B,Pf3D7_10_v3,490638,490844,NA,NA
Pf3D7_10_v3_992331_992603_1A,Pf3D7_10_v3,992363,992570,NA,NA
Pf3D7_10_v3_992596_992869_1A,Pf3D7_10_v3,992622,992836,NA,NA
Pf3D7_10_v3_1386657_1386909_1A,Pf3D7_10_v3,1386690,1386876,NA,NA
Pf3D7_10_v3_1392371_1392620_1A,Pf3D7_10_v3,1392400,1392588,NA,NA
Pf3D7_10_v3_1414337_1414596_1A,Pf3D7_10_v3,1414370,1414565,NA,NA
Pf3D7_10_v3_1414599_1414832_1A,Pf3D7_10_v3,1414631,1414799,NA,NA
Pf3D7_11_v3_115913_116184_1A,Pf3D7_11_v3,115946,116151,NA,NA
Pf3D7_11_v3_119432_119705_1A,Pf3D7_11_v3,119464,119672,NA,NA
Pf3D7_11_v3_408285_408534_1A,Pf3D7_11_v3,408317,408504,NA,NA
Pf3D7_11_v3_408543_408771_1A,Pf3D7_11_v3,408573,408747,NA,NA
Pf3D7_11_v3_497277_497548_1A,Pf3D7_11_v3,497307,497519,NA,NA
Pf3D7_11_v3_1006693_1006917_1A,Pf3D7_11_v3,1006726,1006893,NA,NA
Pf3D7_11_v3_1018781_1019053_1A,Pf3D7_11_v3,1018814,1019021,NA,NA
Pf3D7_11_v3_1019050_1019319_1A,Pf3D7_11_v3,1019079,1019287,NA,NA
Pf3D7_11_v3_1127074_1127316_1A,Pf3D7_11_v3,1127104,1127294,NA,NA
Pf3D7_11_v3_1293919_1294168_1A,Pf3D7_11_v3,1293944,1294136,NA,NA
Pf3D7_11_v3_1294284_1294580_1B,Pf3D7_11_v3,1294306,1294547,NA,NA
Pf3D7_11_v3_1294664_1294910_1A,Pf3D7_11_v3,1294691,1294888,NA,NA
Pf3D7_11_v3_1295103_1295335_1A,Pf3D7_11_v3,1295136,1295311,NA,NA
Pf3D7_11_v3_1295371_1295597_1A,Pf3D7_11_v3,1295398,1295564,NA,NA
Pf3D7_11_v3_1374917_1375148_1A,Pf3D7_11_v3,1374947,1375115,NA,NA
Pf3D7_11_v3_1375807_1376056_1A,Pf3D7_11_v3,1375840,1376024,NA,NA
Pf3D7_11_v3_1376058_1376305_1A,Pf3D7_11_v3,1376087,1376276,NA,NA
Pf3D7_11_v3_1816152_1816378_1A,Pf3D7_11_v3,1816179,1816346,NA,NA
Pf3D7_11_v3_1902034_1902278_1B,Pf3D7_11_v3,1902065,1902257,NA,NA
Pf3D7_11_v3_1902041_1902278_2,Pf3D7_11_v3,1902071,1902253,NA,NA
Pf3D7_11_v3_1934962_1935236_1A,Pf3D7_11_v3,1934990,1935203,NA,NA
Pf3D7_11_v3_1950401_1950636_1B,Pf3D7_11_v3,1950427,1950606,NA,NA
Pf3D7_11_v3_1950431_1950680_2,Pf3D7_11_v3,1950460,1950650,NA,NA
Pf3D7_11_v3_1968031_1968273_1B,Pf3D7_11_v3,1968064,1968242,NA,NA
Pf3D7_11_v3_1968050_1968296_2,Pf3D7_11_v3,1968083,1968268,NA,NA
Pf3D7_11_v3_2001721_2001954_1B,Pf3D7_11_v3,2001754,2001929,NA,NA
Pf3D7_11_v3_2001725_2001999_2,Pf3D7_11_v3,2001758,2001969,NA,NA
Pf3D7_11_v3_2001969_2002222_1B,Pf3D7_11_v3,2001999,2002198,NA,NA
Pf3D7_12_v3_63081_63314_1A,Pf3D7_12_v3,63114,63281,NA,NA
Pf3D7_12_v3_233418_233671_1A,Pf3D7_12_v3,233446,233639,NA,NA
Pf3D7_12_v3_529495_529767_1A,Pf3D7_12_v3,529527,529735,NA,NA
Pf3D7_12_v3_659881_660127_1A,Pf3D7_12_v3,659903,660096,NA,NA
Pf3D7_12_v3_684011_684240_1A,Pf3D7_12_v3,684044,684207,NA,NA
Pf3D7_12_v3_857050_857323_1A,Pf3D7_12_v3,857083,857293,NA,NA
Pf3D7_12_v3_1959644_1959891_1A,Pf3D7_12_v3,1959669,1959858,NA,NA
Pf3D7_12_v3_2092529_2092798_1B,Pf3D7_12_v3,2092559,2092765,NA,NA
Pf3D7_12_v3_2092654_2092884_2,Pf3D7_12_v3,2092683,2092852,NA,NA
Pf3D7_13_v3_146695_146934_1A,Pf3D7_13_v3,146725,146904,NA,NA
Pf3D7_13_v3_156456_156685_1A,Pf3D7_13_v3,156487,156652,NA,NA
Pf3D7_13_v3_156713_156986_1A,Pf3D7_13_v3,156746,156956,NA,NA
Pf3D7_13_v3_388138_388408_1A,Pf3D7_13_v3,388171,388378,NA,NA
Pf3D7_13_v3_479569_479811_1A,Pf3D7_13_v3,479602,479778,NA,NA
Pf3D7_13_v3_748254_748510_1B,Pf3D7_13_v3,748287,748477,NA,NA
Pf3D7_13_v3_815862_816091_1A,Pf3D7_13_v3,815895,816058,NA,NA
Pf3D7_13_v3_852647_852921_1A,Pf3D7_13_v3,852680,852897,NA,NA
Pf3D7_13_v3_911757_912005_1A,Pf3D7_13_v3,911783,911974,NA,NA
Pf3D7_13_v3_935613_935884_1A,Pf3D7_13_v3,935645,935858,NA,NA
Pf3D7_13_v3_958247_958510_1B,Pf3D7_13_v3,958276,958482,NA,NA
Pf3D7_13_v3_1004740_1005002_1A,Pf3D7_13_v3,1004773,1004969,NA,NA
Pf3D7_13_v3_1041593_1041860_1AB,Pf3D7_13_v3,1041625,1041829,NA,NA
Pf3D7_13_v3_1146764_1147010_1A,Pf3D7_13_v3,1146789,1146982,NA,NA
Pf3D7_13_v3_1233093_1233332_1A,Pf3D7_13_v3,1233118,1233299,NA,NA
Pf3D7_13_v3_1265494_1265726_1A,Pf3D7_13_v3,1265527,1265694,NA,NA
Pf3D7_13_v3_1350855_1351093_1A,Pf3D7_13_v3,1350888,1351062,NA,NA
Pf3D7_13_v3_1406713_1406975_1A,Pf3D7_13_v3,1406746,1406947,NA,NA
Pf3D7_13_v3_1419363_1419626_1A,Pf3D7_13_v3,1419396,1419601,NA,NA
Pf3D7_13_v3_1465010_1465307_1B,Pf3D7_13_v3,1465036,1465280,NA,NA
Pf3D7_13_v3_1465616_1465890_1A,Pf3D7_13_v3,1465639,1465870,NA,NA
Pf3D7_13_v3_1465901_1466157_1A,Pf3D7_13_v3,1465926,1466124,NA,NA
Pf3D7_13_v3_1724895_1725166_1B,Pf3D7_13_v3,1724926,1725137,NA,NA
Pf3D7_13_v3_1725124_1725365_2,Pf3D7_13_v3,1725152,1725336,NA,NA
Pf3D7_13_v3_1725208_1725471_1B,Pf3D7_13_v3,1725232,1725441,NA,NA
Pf3D7_13_v3_1725379_1725652_2,Pf3D7_13_v3,1725404,1725620,NA,NA
Pf3D7_13_v3_1725464_1725719_1B,Pf3D7_13_v3,1725494,1725694,NA,NA
Pf3D7_13_v3_1725713_1725955_1B,Pf3D7_13_v3,1725741,1725923,NA,NA
Pf3D7_13_v3_1725887_1726123_2,Pf3D7_13_v3,1725916,1726094,NA,NA
Pf3D7_13_v3_1726057_1726304_1B,Pf3D7_13_v3,1726090,1726271,NA,NA
Pf3D7_13_v3_1726174_1726408_2,Pf3D7_13_v3,1726207,1726375,NA,NA
Pf3D7_13_v3_1726723_1726995_1B,Pf3D7_13_v3,1726756,1726967,NA,NA
Pf3D7_13_v3_1876391_1876664_1A,Pf3D7_13_v3,1876422,1876636,NA,NA
Pf3D7_13_v3_2114242_2114482_1A,Pf3D7_13_v3,2114272,2114454,NA,NA
Pf3D7_13_v3_2114829_2115090_1A,Pf3D7_13_v3,2114855,2115057,NA,NA
Pf3D7_13_v3_2504481_2504734_1B,Pf3D7_13_v3,2504514,2504701,NA,NA
Pf3D7_13_v3_2545065_2545291_1A,Pf3D7_13_v3,2545092,2545258,NA,NA
Pf3D7_13_v3_2770591_2770863_2,Pf3D7_13_v3,2770623,2770830,NA,NA
Pf3D7_13_v3_2770621_2770854_1B,Pf3D7_13_v3,2770649,2770821,NA,NA
Pf3D7_13_v3_2780346_2780575_1B,Pf3D7_13_v3,2780367,2780542,NA,NA
Pf3D7_13_v3_2814583_2814832_2,Pf3D7_13_v3,2814616,2814807,NA,NA
Pf3D7_13_v3_2814606_2814855_1B,Pf3D7_13_v3,2814631,2814826,NA,NA
Pf3D7_13_v3_2816310_2816554_1B,Pf3D7_13_v3,2816334,2816526,NA,NA
Pf3D7_13_v3_2840447_2840746_2,Pf3D7_13_v3,2840474,2840721,NA,NA
Pf3D7_13_v3_2840462_2840736_1B,Pf3D7_13_v3,2840495,2840703,NA,NA
Pf3D7_13_v3_2841390_2841688_1B2,Pf3D7_13_v3,2841411,2841661,NA,NA
Pf3D7_13_v3_2844334_2844629_1B2,Pf3D7_13_v3,2844355,2844599,NA,NA
Pf3D7_14_v3_106867_107115_1A,Pf3D7_14_v3,106894,107084,NA,NA
Pf3D7_14_v3_120101_120365_1A,Pf3D7_14_v3,120134,120332,NA,NA
Pf3D7_14_v3_137398_137668_1A,Pf3D7_14_v3,137431,137636,NA,NA
Pf3D7_14_v3_279563_279833_1A,Pf3D7_14_v3,279591,279800,NA,NA
Pf3D7_14_v3_283350_283576_1B,Pf3D7_14_v3,283381,283552,NA,NA
Pf3D7_14_v3_283973_284211_1B,Pf3D7_14_v3,284006,284184,NA,NA
Pf3D7_14_v3_288429_288696_1B,Pf3D7_14_v3,288462,288664,NA,NA
Pf3D7_14_v3_289301_289550_1B,Pf3D7_14_v3,289329,289517,NA,NA
Pf3D7_14_v3_293575_293829_1B,Pf3D7_14_v3,293608,293796,NA,NA
Pf3D7_14_v3_294506_294753_1B,Pf3D7_14_v3,294538,294730,NA,NA
Pf3D7_14_v3_294503_294768_2,Pf3D7_14_v3,294535,294741,NA,NA
Pf3D7_14_v3_297583_297856_1B,Pf3D7_14_v3,297616,297824,NA,NA
Pf3D7_14_v3_297935_298162_1B,Pf3D7_14_v3,297961,298129,NA,NA
Pf3D7_14_v3_298368_298636_1B,Pf3D7_14_v3,298401,298603,NA,NA
Pf3D7_14_v3_377765_378020_1A,Pf3D7_14_v3,377798,377992,NA,NA
Pf3D7_14_v3_407306_407542_1A,Pf3D7_14_v3,407339,407509,NA,NA
Pf3D7_14_v3_421322_421547_1A,Pf3D7_14_v3,421355,421514,NA,NA
Pf3D7_14_v3_771407_771633_1A,Pf3D7_14_v3,771433,771601,NA,NA
Pf3D7_14_v3_854128_854427_1B,Pf3D7_14_v3,854155,854394,NA,NA
Pf3D7_14_v3_860289_860542_1B,Pf3D7_14_v3,860315,860509,NA,NA
Pf3D7_14_v3_860834_861066_1B,Pf3D7_14_v3,860866,861038,NA,NA
Pf3D7_14_v3_921176_921432_1A,Pf3D7_14_v3,921209,921399,NA,NA
Pf3D7_14_v3_1038300_1038538_1A,Pf3D7_14_v3,1038327,1038505,NA,NA
Pf3D7_14_v3_1166107_1166371_1A,Pf3D7_14_v3,1166135,1166338,NA,NA
Pf3D7_14_v3_1392837_1393086_1A,Pf3D7_14_v3,1392870,1393059,NA,NA
Pf3D7_14_v3_1954850_1955124_1B,Pf3D7_14_v3,1954882,1955099,NA,NA
Pf3D7_14_v3_1956056_1956330_1B,Pf3D7_14_v3,1956089,1956301,NA,NA
Pf3D7_14_v3_1956365_1956639_1B,Pf3D7_14_v3,1956396,1956609,NA,NA
Pf3D7_14_v3_1957218_1957480_1B,Pf3D7_14_v3,1957251,1957447,NA,NA
Pf3D7_14_v3_1992121_1992370_1A,Pf3D7_14_v3,1992154,1992347,NA,NA
Pf3D7_14_v3_2004362_2004606_1A,Pf3D7_14_v3,2004395,2004574,NA,NA
Pf3D7_14_v3_2020604_2020849_1A,Pf3D7_14_v3,2020637,2020823,NA,NA
Pf3D7_14_v3_2260533_2260765_1A,Pf3D7_14_v3,2260556,2260737,NA,NA
Pf3D7_14_v3_2355614_2355853_1A,Pf3D7_14_v3,2355646,2355820,NA,NA
Pf3D7_14_v3_2481033_2481276_1B,Pf3D7_14_v3,2481065,2481245,NA,NA
Pf3D7_14_v3_2695837_2696082_1A,Pf3D7_14_v3,2695870,2696052,NA,NA
Pf3D7_14_v3_2733345_2733593_1A,Pf3D7_14_v3,2733378,2733564,NA,NA
Pf3D7_14_v3_2858894_2859160_1A,Pf3D7_14_v3,2858926,2859127,NA,NA
Pf3D7_14_v3_3124416_3124655_1A,Pf3D7_14_v3,3124442,3124626,NA,NA
Pf3D7_14_v3_3125801_3126073_1A,Pf3D7_14_v3,3125830,3126040,NA,NA
Pf3D7_14_v3_3214249_3214516_1A,Pf3D7_14_v3,3214282,3214486,NA,NA
PmUG01_12_v1_1397996_1398245_1AB,PmUG01_12_v1,1398021,1398213,NA,NA
PocGH01_12_v1_1106456_1106697_1AB,PocGH01_12_v1,1106483,1106671,NA,NA
PvP01_12_v1_1184983_1185208_1AB,PvP01_12_v1,1185008,1185184,NA,NA
