hapid	haplength	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV67	189	24312	148	PvP01	PVP01_0527700	0	0	FALSE
ASV68	171	23966	49	N	pvmrp1_7	1	0	FALSE
ASV69	96	23796	140	PvP01	PVP01_0504000	0	0	FALSE
ASV70	142	23740	176	PvP01	PVP01_0202600	0	0	FALSE
ASV71	179	23592	34	N	FRM1_2	2	0	FALSE
ASV72	168	23548	90	N	PVP01_0838400	6	0	FALSE
ASV73	138	23239	136	N	PVP01_0834800	1	0	FALSE
ASV74	166	23026	97	PvP01	PVP01_1465800	0	0	FALSE
ASV75	180	22871	81	N	ETRAMP11.2	2	0	FALSE
ASV76	116	22836	83	N	pvpi3k_2	1	15	FALSE
ASV77	121	22793	83	N	PIGM	1	0	FALSE
ASV78	168	22351	63	PvP01	PVP01_0838400	0	0	FALSE
ASV79	195	22318	59	N	CG2_related	6	0	FALSE
ASV80	109	22130	143	PvP01	DBP_1	0	0	FALSE
ASV81	188	21878	189	PvP01	PVP01_1427600	0	0	FALSE
ASV82	180	21870	63	N	ETRAMP11.2	1	0	FALSE
ASV83	171	21531	41	N	pvmrp1_7	1	0	FALSE
ASV84	178	21518	4	N	VPS11	0	1	FALSE
ASV85	121	20868	68	PvP01	PIGM	0	0	FALSE
ASV86	148	20500	186	PvP01	pvpi3k_6	0	0	FALSE
ASV87	189	20081	119	N	PVP01_0527700	1	0	FALSE
ASV88	125	19917	208	N	PWP1	2	0	FALSE
ASV89	198	19747	218	PvP01	PVP01_0735100	0	0	FALSE
ASV90	180	19213	48	N	ETRAMP11.2	3	0	FALSE
ASV91	154	18964	225	N	LRR5	1	0	FALSE
ASV92	105	18618	162	PvP01	PVP01_0624000	0	0	FALSE
ASV93	145	18604	33	N	PVP01_0707300	1	0	FALSE
ASV94	153	18443	124	N	PVP01_1430700	1	0	FALSE
ASV95	191	18405	135	N	PVP01_1403000	1	0	FALSE
ASV96	115	18355	155	N	pvmdr1_4	1	0	FALSE
ASV97	110	17942	36	N	PVP01_0109700_1	0	30	FALSE
ASV98	179	17577	28	N	PVP01_1315600	1	0	FALSE
ASV99	115	17283	134	N	pvmdr1_4	1	0	FALSE
ASV100	100	17120	151	N	PVP01_0117000	3	0	FALSE
ASV101	144	16671	131	N	ATG12	1	0	FALSE
ASV102	168	16475	188	N	PyKII	1	0	FALSE
ASV103	72	16182	53	PvP01	TRAG16_1	0	0	FALSE
ASV104	168	16052	52	N	PVP01_0838400	5	0	FALSE
ASV105	138	16048	270	N	DRS1	1	0	FALSE
ASV106	162	15913	100	N	PVP01_1421800	0	21	FALSE
ASV107	184	15809	112	N	MAM3	1	0	FALSE
ASV108	63	15603	12	N	pvmrp1_3	1	0	FALSE
ASV109	200	15512	185	PvP01	PVP01_0103700_1	0	0	FALSE
ASV110	99	15495	183	N	ATG11	1	0	FALSE
ASV111	76	15450	180	N	RBP2b_2	2	0	FALSE
ASV112	178	15178	143	PvP01	PVP01_0215800_2	0	0	FALSE
ASV113	172	15153	53	N	PVP01_1323700	5	0	FALSE
ASV114	141	15078	31	N	TRAG38	2	0	FALSE
ASV115	142	15046	58	N	PVP01_0202600	1	0	FALSE
ASV116	175	14998	136	PvP01	VPS53	0	0	FALSE
ASV117	160	14927	26	PvP01	RBP2a_1	0	0	FALSE
ASV118	179	14729	182	PvP01	ATAT	0	0	FALSE
ASV119	91	14728	93	N	SLARP	1	0	FALSE
ASV120	139	14669	111	N	PVP01_1024100	2	0	FALSE
ASV121	184	14662	106	PvP01	MAM3	0	0	FALSE
ASV122	167	14560	147	N	PSOP1	1	0	FALSE
ASV123	191	14514	140	N	PVP01_1403000	2	0	FALSE
ASV124	182	14365	59	PvP01	PVP01_0103700_2	0	0	FALSE
ASV125	126	14334	145	PvP01	PVP01_0215600	0	0	FALSE
ASV126	182	14263	100	N	PVP01_0103700_2	1	0	FALSE
ASV127	108	14254	213	N	pvmrp1_12	1	0	FALSE
ASV128	51	13977	235	PvP01	pvpi3k_1	0	0	FALSE
ASV129	194	13912	173	N	PVP01_0314600	2	0	FALSE
ASV130	106	13823	59	N	PVP01_1443400	1	0	FALSE
ASV131	54	13534	171	N	pvmdr2_5	1	0	FALSE
ASV132	137	13439	217	PvP01	SUMO	0	0	FALSE
ASV133	173	13188	81	N	RPA2	1	0	FALSE
ASV134	58	13061	218	PvP01	pvpi3k_5	0	0	FALSE
ASV135	78	13059	221	PvP01	pvmdr1_5	0	0	FALSE
ASV136	182	12976	73	N	PVP01_0103700_2	2	0	FALSE
ASV137	123	12928	145	PvP01	RBP2b_1	0	0	FALSE
ASV138	140	12815	46	N	PVP01_0109700_1	1	0	FALSE
ASV139	178	12808	176	N	PVP01_0602200	2	0	FALSE
ASV140	115	12718	20	N	AdoMetDC_ODC	1	0	FALSE
ASV141	109	12706	46	N	DBP_1	1	0	FALSE
ASV142	181	12614	54	N	pvmrp1_6	1	0	FALSE
ASV143	116	12536	43	N	pvpi3k_2	0	15	FALSE
ASV144	194	12505	118	N	SPC25	1	0	FALSE
ASV145	91	12321	117	N	SLARP	1	0	FALSE
ASV146	117	11864	202	N	SRPR_alpha	1	0	FALSE
ASV147	139	11655	111	PvP01	PVP01_1024100	0	0	FALSE
ASV148	105	11612	67	N	pvmrp2_2	3	0	FALSE
ASV149	195	11558	38	N	CG2_related	6	0	FALSE
ASV150	125	11505	189	PvP01	PVP01_0318900	0	0	FALSE
ASV151	145	11365	111	PvP01	PVP01_0302700	0	0	FALSE
ASV152	69	11119	112	N	RBP2b_3	2	0	FALSE
ASV153	199	10983	174	PvP01	PVP01_0908400	0	0	FALSE
ASV154	167	10901	121	PvP01	PSOP1	0	0	FALSE
ASV155	198	10882	168	PvP01	CRMP2	0	0	FALSE
ASV156	106	10880	63	N	PVP01_1443400	2	0	FALSE
ASV157	129	10804	178	PvP01	PVP01_1467900	0	0	FALSE
ASV158	175	10639	96	N	VPS53	1	0	FALSE
ASV159	144	10625	98	PvP01	ATG12	0	0	FALSE
ASV160	160	10432	23	N	PVP01_1320900	2	0	FALSE
ASV161	195	10403	6	N	CG2_related	5	0	FALSE
ASV162	105	10401	133	N	PVP01_0624000	1	0	FALSE
ASV163	131	10380	151	N	PVP01_1406900	2	0	FALSE
ASV164	63	10299	148	PvP01	pvmdr2_6	0	0	FALSE
ASV165	153	10270	78	N	PVP01_1430700	3	0	FALSE
ASV166	178	10129	101	N	PVP01_0215800_2	1	0	FALSE
ASV167	115	10017	9	N	AdoMetDC_ODC	1	0	FALSE
ASV168	96	9869	127	N	PVP01_0504000	2	0	FALSE
ASV169	123	9713	126	PvP01	MED14	0	0	FALSE
ASV170	141	9708	23	N	TRAG38	1	0	FALSE
ASV171	179	9460	23	N	FRM1_2	2	0	FALSE
ASV172	179	9451	133	N	PVP01_1413100_1	1	0	FALSE
ASV173	106	9446	143	N	PVP01_1443400	4	0	FALSE
ASV174	167	9348	153	PvP01	PVP01_0933300	0	0	FALSE
ASV175	116	9329	155	PvP01	PVP01_0306200	0	0	FALSE
ASV176	187	9081	76	PvP01	PVP01_1133200	0	0	FALSE
ASV177	99	8998	84	N	ATG11	2	0	FALSE
ASV178	195	8924	25	N	CG2_related	4	0	FALSE
ASV179	168	8915	22	N	PVP01_0838400	7	0	FALSE
ASV180	86	8863	128	PvP01	PVP01_0412700	0	0	FALSE
ASV181	172	8608	97	N	pvmdr2_3	1	0	FALSE
ASV182	123	8517	142	N	RBP2b_1	1	0	FALSE
ASV183	149	8502	23	PvP01	PSOP24	0	0	FALSE
ASV184	149	8230	67	PvP01	PVP01_1413100_2	0	0	FALSE
ASV185	124	8152	139	N	ROM10	2	0	FALSE
ASV186	134	8070	67	N	PVP01_1147300	2	0	FALSE
ASV187	145	8031	100	N	PVP01_0302700	3	0	FALSE
ASV188	165	7901	48	N	CIA1	3	0	FALSE
ASV189	131	7894	13	N	PVP01_1438700	1	0	FALSE
ASV190	115	7872	39	PvP01	pvmdr1_4	0	0	FALSE
ASV191	182	7835	36	N	PVP01_0103700_2	1	0	FALSE
ASV192	109	7791	85	N	DBP_1	1	0	FALSE
ASV193	181	7791	81	PvP01	FRM1_1	0	0	FALSE
ASV194	181	7745	56	N	FRM1_1	1	0	FALSE
ASV195	72	7283	113	N	FER2_2	1	0	FALSE
ASV196	159	7282	28	N	pvmrp1_8	1	0	FALSE
ASV197	122	7281	97	N	RIPR	2	0	FALSE
ASV198	144	7160	75	N	RAD5	1	0	FALSE
ASV199	140	7102	26	PvP01	PVP01_0109700_1	0	0	FALSE
ASV200	126	7093	74	N	PVP01_0215600	4	0	FALSE
ASV201	179	6988	18	N	FRM1_2	2	0	FALSE
ASV202	188	6982	60	N	PVP01_1427600	1	0	FALSE
ASV203	168	6980	62	PvP01	PyKII	0	0	FALSE
ASV204	140	6952	20	N	PVP01_0109700_1	2	0	FALSE
ASV205	194	6853	99	PvP01	SPC25	0	0	FALSE
ASV206	157	6779	44	PvP01	GAP50	0	0	FALSE
ASV207	172	6756	107	N	PVP01_0405000_2	1	0	FALSE
ASV208	177	6740	27	N	LipB	2	0	FALSE
ASV209	131	6662	61	N	MB2	1	0	FALSE
ASV210	91	6638	54	PvP01	SLARP	0	0	FALSE
ASV211	205	6598	122	PvP01	PVP01_1339900	0	0	FALSE
ASV212	76	6522	95	N	RBP2b_2	1	0	FALSE
ASV213	159	6490	150	N	CAPH	1	0	FALSE
ASV214	157	6475	161	PvP01	RAP	0	0	FALSE
ASV215	63	6422	81	N	pvmdr2_6	1	0	FALSE
ASV216	156	6373	173	PvP01	PVP01_1261200	0	0	FALSE
ASV217	132	6353	8	N	RBP2a_2	1	0	FALSE
ASV218	122	6239	69	N	RIPR	4	0	FALSE
ASV219	134	6214	22	N	PVP01_1301600_1	1	0	FALSE
ASV220	125	6163	68	N	PVP01_0318900	2	0	FALSE
ASV221	209	6112	168	N	PVP01_1308100	1	0	FALSE
ASV222	156	6083	71	N	SEC24B	4	15	FALSE
ASV223	81	6074	71	N	RAMA	43	0	FALSE
ASV224	180	6000	6	N	ETRAMP11.2	4	0	FALSE
ASV225	86	5968	87	N	PVP01_0412700	2	0	FALSE
ASV226	105	5952	43	N	GCN20	1	0	FALSE
ASV227	179	5950	54	N	ATAT	1	0	FALSE
ASV228	75	5937	152	PvP01	PVP01_0215800_1	0	0	FALSE
ASV229	175	5921	99	N	pvmdr1_2	1	0	FALSE
ASV230	96	5856	39	N	PVP01_0504000	1	0	FALSE
ASV231	122	5838	71	N	RIPR	3	0	FALSE
ASV232	173	5764	19	N	RPA2	2	0	FALSE
ASV233	125	5758	63	N	SYN13	5	5	FALSE
ASV234	57	5724	23	N	pvabc-e1_1	1	0	FALSE
ASV235	184	5714	44	N	ApiAP2_G5	1	0	FALSE
ASV236	111	5633	145	N	PVP01_1445500	1	0	FALSE
ASV237	194	5630	75	N	PVP01_0314600	1	0	FALSE
ASV238	54	5546	63	PvP01	pvmdr2_5	0	0	FALSE
ASV239	181	5514	25	PvP01	pvmrp1_6	0	0	FALSE
ASV240	200	5511	54	N	PVP01_0103700_1	1	0	FALSE
ASV241	134	5458	11	N	PVP01_1301600_1	2	0	FALSE
ASV242	163	5433	135	N	NSF	1	0	FALSE
ASV243	163	5420	175	N	SNRPB2	4	0	FALSE
ASV244	102	5200	148	PvP01	SPM1	0	0	FALSE
ASV245	166	5124	20	N	PVP01_1465800	1	0	FALSE
ASV246	138	5032	133	PvP01	PSOP13	0	0	FALSE
ASV247	191	5015	85	PvP01	GCN1	0	0	FALSE
ASV248	156	4985	178	PvP01	PVP01_0624400	0	0	FALSE
ASV249	111	4974	82	N	FRM2	1	30	FALSE
ASV250	130	4932	24	N	SYN13	1	0	FALSE
ASV251	131	4859	74	N	PVP01_1406900	3	0	FALSE
ASV252	170	4827	23	N	pBAS	3	0	FALSE
ASV253	145	4824	26	N	PVP01_0302700	2	0	FALSE
ASV254	179	4817	11	N	PVP01_1315600	2	0	FALSE
ASV255	157	4805	23	N	GAP50	1	0	FALSE
ASV256	158	4783	72	N	PVP01_0602400	2	0	FALSE
ASV257	130	4741	34	N	MyoB	4	0	FALSE
ASV258	100	4691	134	N	PVP01_1014100	6	0	FALSE
ASV259	132	4610	29	N	RBP2a_2	2	0	FALSE
ASV260	156	4582	133	N	PVP01_1107600	3	0	FALSE
ASV261	139	4527	10	N	PVP01_1301600_2	1	0	FALSE
ASV262	115	4471	47	N	PVP01_0530700	11	0	FALSE
ASV263	109	4470	15	N	DBP_1	2	0	FALSE
ASV264	189	4435	95	PvP01	PVP01_1464400	0	0	FALSE
ASV265	157	4424	13	N	GAP50	2	0	FALSE
ASV266	110	4401	104	N	PVP01_1144400	3	0	FALSE
ASV267	53	4371	143	PvP01	pvmdr1_3	0	0	FALSE
ASV268	141	4360	42	N	SEC24B	1	0	FALSE
ASV269	184	4336	57	N	ApiAP2_G5	1	0	FALSE
ASV270	129	4243	145	PvP01	PVP01_1256600	0	0	FALSE
ASV271	132	4236	27	PvP01	RBP2a_2	0	0	FALSE
ASV272	156	4235	63	N	SEC24B	3	15	FALSE
ASV273	112	4147	110	N	PVP01_1444400	1	0	FALSE
ASV274	184	4089	39	N	ApiAP2_G5	1	0	FALSE
ASV275	182	4063	8	N	PVP01_0103700_2	2	0	FALSE
ASV276	126	4033	11	N	PVP01_0838300	1	0	FALSE
ASV277	188	4005	24	N	PVP01_1427600	1	0	FALSE
ASV278	56	3996	44	N	pvdhfr	1	0	FALSE
ASV279	154	3993	43	N	LRR5	3	0	FALSE
ASV280	147	3920	40	PvP01	PVP01_1233500	0	0	FALSE
ASV281	167	3866	56	N	PVP01_0933300	1	0	FALSE
ASV282	130	3840	31	N	PVP01_0530700	3	15	FALSE
ASV283	56	3839	148	PvP01	pvdhfr	0	0	FALSE
ASV284	115	3813	43	N	PVP01_0530700	12	0	FALSE
ASV285	158	3760	20	PvP01	PVP01_0602400	0	0	FALSE
ASV286	151	3751	57	N	ORP1	2	0	FALSE
ASV287	69	3728	66	N	RBP2b_3	2	0	FALSE
ASV288	170	3720	111	PvP01	PVP01_1463400	0	0	FALSE
ASV289	126	3714	12	N	PVP01_0838300	2	0	FALSE
ASV290	125	3677	79	N	MSP5	4	0	FALSE
ASV291	108	3674	53	N	pvmrp1_12	1	0	FALSE
ASV292	163	3668	85	N	ERCC4	2	0	FALSE
ASV293	178	3645	30	N	PVP01_0602200	1	0	FALSE
ASV294	181	3624	17	N	FRM1_1	2	0	FALSE
ASV295	184	3601	69	PvP01	ApiAP2_G5	0	0	FALSE
ASV296	180	3589	13	N	ETRAMP11.2	2	0	FALSE
ASV297	125	3536	24	N	PWP1	3	0	FALSE
ASV298	189	3507	69	PvP01	PVP01_0109700_2	0	0	FALSE
ASV299	134	3496	26	N	PVP01_1147300	1	0	FALSE
ASV300	158	3484	31	N	PVP01_0602400	1	0	FALSE
ASV301	94	3468	90	N	LSM8	1	0	FALSE
ASV302	184	3448	15	N	MAM3	1	0	FALSE
ASV303	151	3443	124	PvP01	G37	0	0	FALSE
ASV304	126	3439	50	N	PVP01_0215600	1	0	FALSE
ASV305	179	3408	75	PvP01	PVP01_1413100_1	0	0	FALSE
ASV306	154	3407	68	N	PVP01_1329500	1	0	FALSE
ASV307	170	3369	12	N	pBAS	2	0	FALSE
ASV308	140	3362	85	N	PVP01_1311000	2	0	FALSE
ASV309	163	3359	91	N	ERCC4	1	0	FALSE
ASV310	94	3282	136	N	HT1	9	0	FALSE
ASV311	120	3245	52	N	PVP01_1261400	1	0	FALSE
ASV312	175	3239	79	N	PVP01_0302300	2	0	FALSE
ASV313	189	3201	74	N	PVP01_1464400	1	0	FALSE
ASV314	154	3198	54	PvP01	PVP01_1329500	0	0	FALSE
ASV315	93	3183	8	N	pvmrp1_2	1	0	FALSE
ASV316	145	3171	61	N	pvpi3k_7	0	15	FALSE
ASV317	129	3141	79	N	PVP01_1101300	1	0	FALSE
ASV318	163	3100	58	N	NSF	2	0	FALSE
ASV319	175	3058	73	N	PVP01_0302300	1	0	FALSE
ASV320	84	3036	79	PvP01	pvdhps_1	0	0	FALSE
ASV321	154	2981	105	PvP01	FT1	0	0	FALSE
ASV322	118	2978	96	PvP01	PVP01_1344700	0	0	FALSE
ASV323	63	2954	17	N	pvmrp1_3	1	0	FALSE
ASV324	125	2944	37	N	SYN13	4	5	FALSE
ASV325	125	2942	32	N	PWP1	3	0	FALSE
ASV326	124	2911	43	N	ROM10	2	0	FALSE
ASV327	167	2897	16	N	PSOP1	1	0	FALSE
ASV328	150	2872	1	N	HSP20	1	0	FALSE
ASV329	110	2841	63	N	PVP01_0733600	1	0	FALSE
ASV330	124	2841	28	N	ROM10	1	0	FALSE
ASV331	118	2840	92	PvP01	RCC-PIP	0	0	FALSE
ASV332	47	2827	15	PvP01	pvmdr1_1	0	0	FALSE
ASV333	115	2767	8	N	PVP01_0530700	3	0	FALSE
ASV334	138	2762	8	N	PVP01_0834800	1	0	FALSE
ASV335	105	2758	20	N	PVP01_0624000	2	0	FALSE
ASV336	129	2755	55	N	PVP01_1101300	1	0	FALSE
ASV337	165	2742	88	N	PPT	3	0	FALSE
ASV338	129	2737	21	N	PVP01_1101300	1	0	FALSE
ASV339	69	2721	46	N	RBP2b_3	1	0	FALSE
ASV340	145	2702	33	N	PVP01_0302700	2	0	FALSE
ASV341	146	2655	120	N	PVP01_1007200	58	4	FALSE
ASV342	172	2655	80	N	PVP01_1323700	5	0	FALSE
ASV343	158	2654	34	N	PVP01_0602400	1	0	FALSE
ASV344	63	2640	115	PvP01	pvk13	0	0	FALSE
ASV345	129	2629	82	N	TERT	3	0	FALSE
ASV346	171	2611	86	N	PVP01_1027500	2	0	FALSE
ASV347	180	2592	14	N	ETRAMP11.2	5	0	FALSE
ASV348	111	2564	55	PvP01	PVP01_1445500	0	0	FALSE
ASV349	144	2563	30	N	RAD5	2	0	FALSE
ASV350	179	2560	3	N	FRM1_2	3	0	FALSE
ASV351	110	2556	82	N	PVP01_1144400	2	0	FALSE
ASV352	138	2552	92	PvP01	SufD	0	0	FALSE
ASV353	129	2547	39	N	PVP01_1101300	4	0	FALSE
ASV354	143	2530	135	PvP01	PVP01_0119600	0	0	FALSE
ASV355	103	2523	147	PvP01	FCP	0	0	FALSE
ASV356	140	2465	123	N	CDPK1	3	0	FALSE
ASV357	181	2461	9	N	pvmrp1_6	2	0	FALSE
ASV358	120	2453	38	N	PVP01_1261400	1	0	FALSE
ASV359	205	2414	43	N	PVP01_1339900	1	0	FALSE
ASV360	198	2413	23	N	PVP01_0735100	1	0	FALSE
ASV361	163	2406	33	N	NSF	2	0	FALSE
ASV362	178	2401	13	N	PVP01_0215800_2	1	0	FALSE
ASV363	181	2347	13	N	FRM1_1	1	0	FALSE
ASV364	165	2341	77	N	PPT	2	0	FALSE
ASV365	72	2318	34	PvP01	FER2_2	0	0	FALSE
ASV366	127	2307	59	N	pvpi3k_7	18	3	FALSE
ASV367	158	2303	38	N	PVP01_0602400	1	0	FALSE
ASV368	108	2301	27	PvP01	pvmrp1_12	0	0	FALSE
ASV369	198	2296	43	N	CRMP2	2	0	FALSE
ASV370	102	2294	50	N	SPM1	14	0	FALSE
ASV371	82	2280	90	N	PVP01_0912400	1	0	FALSE
ASV372	173	2277	19	N	RPA2	2	0	FALSE
ASV373	171	2276	74	PvP01	PVP01_1027500	0	0	FALSE
ASV374	199	2268	39	N	PVP01_0908400	1	0	FALSE
ASV375	147	2267	18	N	PVP01_0518900	2	0	FALSE
ASV376	181	2226	46	N	FRM1_1	3	0	FALSE
ASV377	139	2204	112	PvP01	PVP01_1345500	0	0	FALSE
ASV378	109	2192	115	N	PVP01_1415900	3	0	FALSE
ASV379	177	2173	12	N	LipB	1	0	FALSE
ASV380	103	2150	105	N	MLC_B	1	0	FALSE
ASV381	129	2132	71	N	TERT	3	0	FALSE
ASV382	181	2127	18	N	FRM1_1	4	0	FALSE
ASV383	123	2124	16	N	MED14	4	0	FALSE
ASV384	91	2101	8	N	SLARP	2	0	FALSE
ASV385	115	2094	9	PvP01	pvmrp2_1	0	0	FALSE
ASV386	191	2086	18	N	PVP01_1403000	2	0	FALSE
ASV387	143	2072	91	PvP01	PVP01_0210500	0	0	FALSE
ASV388	122	2056	24	N	RIPR	4	0	FALSE
ASV389	175	2022	24	N	VPS53	2	0	FALSE
ASV390	101	2009	137	N	PVP01_1418900	2	0	FALSE
ASV391	100	1997	43	N	PVP01_0117000	4	0	FALSE
ASV392	191	1986	20	N	GCN1	1	0	FALSE
ASV393	171	1982	33	N	SEC24B	4	30	FALSE
ASV394	138	1933	66	N	SufD	10	0	FALSE
ASV395	78	1932	26	N	pvmdr1_5	1	0	FALSE
ASV396	125	1907	72	N	MSP5	3	0	FALSE
ASV397	163	1874	20	N	ERCC4	2	0	FALSE
ASV398	94	1869	54	N	PCD	1	0	FALSE
ASV399	130	1864	16	N	PVP01_0530700	6	15	FALSE
ASV400	129	1848	23	PvP01	PVP01_1101300	0	0	FALSE
ASV401	153	1836	15	PvP01	PVP01_1430700	0	0	FALSE
ASV402	113	1823	71	N	CWC2	1	0	FALSE
ASV403	82	1823	45	N	PVP01_1014100	5	18	FALSE
ASV404	158	1784	16	N	PVP01_0602400	2	0	FALSE
ASV405	133	1775	83	N	EIF3K_2	3	0	FALSE
ASV406	146	1760	1	N	PVP01_0615400	1	0	FALSE
ASV407	130	1748	36	PvP01	pvpi3k_7	0	0	FALSE
ASV408	145	1747	13	N	PVP01_0302700	1	0	FALSE
ASV409	172	1736	20	N	pvmdr2_3	2	0	FALSE
ASV410	141	1734	17	N	FRM2	1	0	FALSE
ASV411	104	1695	103	PvP01	TLAP2	0	0	FALSE
ASV412	125	1677	65	N	MSP5	4	0	FALSE
ASV413	174	1669	3	N	PKG	1	0	FALSE
ASV414	93	1663	12	N	pvmrp1_2	2	0	FALSE
ASV415	110	1651	37	N	PVP01_0733600	1	0	FALSE
ASV416	142	1642	12	N	PVP01_0202600	1	0	FALSE
ASV417	117	1633	43	PvP01	SRPR_alpha	0	0	FALSE
ASV418	106	1617	49	N	pvpi3k_13	0	18	FALSE
ASV419	129	1614	11	N	SYN13	1	1	FALSE
ASV420	148	1599	24	N	pvpi3k_6	1	0	FALSE
ASV421	129	1587	12	N	PVP01_1101300	1	0	FALSE
ASV422	114	1583	107	N	CLK1	1	0	FALSE
ASV423	170	1570	4	N	pBAS	4	0	FALSE
ASV424	129	1569	38	N	PVP01_1467900	1	0	FALSE
ASV425	69	1551	44	PvP01	RBP2b_3	0	0	FALSE
ASV426	129	1515	44	N	TERT	2	0	FALSE
ASV427	181	1511	14	N	FRM1_1	4	0	FALSE
ASV428	130	1497	10	PvP01	SYN13	0	0	FALSE
ASV429	179	1493	12	N	ATAT	1	0	FALSE
ASV430	154	1490	96	N	PVP01_0931600	2	0	FALSE
ASV431	94	1471	15	N	LSM8	3	0	FALSE
ASV432	205	1471	19	N	PVP01_1339900	1	0	FALSE
ASV433	133	1462	76	N	EIF3K_2	4	0	FALSE
ASV434	160	1458	6	N	RBP2a_1	1	0	FALSE
ASV435	143	1452	74	N	PVP01_0210500	3	0	FALSE
ASV436	94	1440	73	PvP01	PCD	0	0	FALSE
ASV437	115	1432	25	N	PVP01_0530700	11	0	FALSE
ASV438	100	1420	29	N	PVP01_0117000	2	0	FALSE
ASV439	163	1404	18	N	NSF	1	0	FALSE
