hapid	haplength	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV118	101	3317	2	N	pvpi3k_2	1	0	FALSE
ASV119	134	3308	28	N	PVP01_1301600_1	2	0	FALSE
ASV120	153	3233	21	N	PVP01_1430700	1	0	FALSE
ASV121	103	3212	13	N	MLC_B	1	0	FALSE
ASV122	91	3209	33	PvP01	SLARP	0	0	FALSE
ASV123	188	3180	21	PvP01	PVP01_1427600	0	0	FALSE
ASV124	94	3161	25	N	LSM8	1	0	FALSE
ASV125	126	3156	29	N	PVP01_0838300	1	0	FALSE
ASV126	112	3129	24	N	pvpi3k_7	4	18	FALSE
ASV127	156	3125	39	PvP01	PVP01_1261200	0	0	FALSE
ASV128	112	3119	12	N	PVP01_1444400	2	0	FALSE
ASV129	145	3073	32	PvP01	PVP01_0302700	0	0	FALSE
ASV130	125	3059	8	N	MSP5	4	0	FALSE
ASV131	88	2982	16	N	pvmdr2_1	1	0	FALSE
ASV132	155	2955	16	N	EIF3K_1	2	1	FALSE
ASV133	182	2883	5	N	ApiAP2_1	1	15	FALSE
ASV134	142	2852	11	N	PVP01_0202600	1	0	FALSE
ASV135	141	2845	37	N	TRAG38	1	0	FALSE
ASV136	103	2742	22	N	MLC_B	1	0	FALSE
ASV137	115	2732	3	N	PVP01_0530700	6	0	FALSE
ASV138	165	2718	24	PvP01	pvpi3k_11	0	0	FALSE
ASV139	175	2689	36	N	VPS53	1	0	FALSE
ASV140	56	2642	40	PvP01	pvdhfr	0	0	FALSE
ASV141	113	2630	12	N	CWC2	1	0	FALSE
ASV142	170	2628	4	N	pBAS	2	0	FALSE
ASV143	147	2588	21	PvP01	PVP01_1233500	0	0	FALSE
ASV144	172	2404	23	N	PVP01_1323700	5	0	FALSE
ASV145	122	2371	26	N	RIPR	3	0	FALSE
ASV146	154	2340	16	N	PVP01_1465800	0	12	FALSE
ASV147	127	2289	7	N	pvpi3k_7	18	3	FALSE
ASV148	175	2281	10	PvP01	VPS53	0	0	FALSE
ASV149	125	2280	4	N	SYN13	5	5	FALSE
ASV150	54	2267	14	N	pvmdr2_5	1	0	FALSE
ASV151	54	2223	51	PvP01	pvmrp1_10	0	0	FALSE
ASV152	144	2215	37	PvP01	ATG12	0	0	FALSE
ASV153	93	2166	13	N	pvmrp1_2	2	0	FALSE
ASV154	100	2147	23	N	PVP01_0117000	3	0	FALSE
ASV155	116	2103	22	N	PVP01_0306200	1	0	FALSE
ASV156	154	2086	42	N	LRR5	1	0	FALSE
ASV157	125	1953	12	N	SYN13	4	5	FALSE
ASV158	182	1927	2	N	ApiAP2_1	1	15	FALSE
ASV159	171	1911	36	N	pvmrp1_7	1	0	FALSE
ASV160	172	1893	5	N	PVP01_1323700	3	0	FALSE
ASV161	149	1891	32	N	PVP01_1413100_2	1	0	FALSE
ASV162	142	1860	30	PvP01	PVP01_0202600	0	0	FALSE
ASV163	75	1785	20	N	PVP01_0215800_1	1	0	FALSE
ASV164	121	1785	9	N	PIGM	1	0	FALSE
ASV165	148	1763	29	PvP01	PABP3	0	0	FALSE
ASV166	160	1763	36	PvP01	RBP2a_1	0	0	FALSE
ASV167	189	1740	39	PvP01	PVP01_0527700	0	0	FALSE
ASV168	134	1729	21	N	PVP01_1301600_1	3	0	FALSE
ASV169	63	1728	33	PvP01	pvk13	0	0	FALSE
ASV170	132	1709	48	N	RBP2a_2	1	0	FALSE
ASV171	160	1693	8	N	PVP01_1320900	2	0	FALSE
ASV172	105	1689	18	N	PVP01_0624000	1	0	FALSE
ASV173	149	1678	21	N	PSOP24	1	0	FALSE
ASV174	177	1659	9	N	LipB	1	0	FALSE
ASV175	113	1643	19	N	CWC2	2	0	FALSE
ASV176	184	1642	33	N	MAM3	1	0	FALSE
ASV177	180	1633	9	N	ETRAMP11.2	2	0	FALSE
ASV178	125	1624	38	PvP01	PVP01_0318900	0	0	FALSE
ASV179	177	1617	9	N	LipB	2	0	FALSE
ASV180	74	1596	19	PvP01	PVP01_0116700	0	0	FALSE
ASV181	129	1544	22	PvP01	PVP01_1467900	0	0	FALSE
ASV182	140	1538	38	N	CDPK1	3	0	FALSE
ASV183	189	1522	27	PvP01	PVP01_0109700_2	0	0	FALSE
ASV184	163	1508	14	N	SNRPB2	4	0	FALSE
ASV185	158	1502	23	PvP01	PVP01_0602400	0	0	FALSE
ASV186	140	1493	15	N	PVP01_0420500	1	0	FALSE
ASV187	159	1482	45	PvP01	pvmrp1_8	0	0	FALSE
ASV188	173	1447	15	N	PVP01_1136100	2	26	FALSE
ASV189	147	1447	20	N	PVP01_1136100	2	0	FALSE
ASV190	158	1400	9	N	PVP01_0602400	1	0	FALSE
ASV191	191	1399	33	PvP01	GCN1	0	0	FALSE
ASV192	120	1386	30	N	PVP01_1004400	1	0	FALSE
ASV193	137	1373	38	PvP01	SUMO	0	0	FALSE
ASV194	112	1371	20	N	PVP01_1444400	3	0	FALSE
ASV195	84	1368	31	PvP01	pvdhps_1	0	0	FALSE
ASV196	90	1341	24	N	CTRP	8	0	FALSE
ASV197	139	1340	27	PvP01	PVP01_1345500	0	0	FALSE
ASV198	75	1339	9	PvP01	PVP01_0215800_1	0	0	FALSE
ASV199	124	1331	6	N	ROM10	3	0	FALSE
ASV200	172	1273	1	N	GAPDH	2	1	FALSE
ASV201	81	1258	29	N	RAMA	43	0	FALSE
ASV202	122	1242	7	N	RIPR	4	0	FALSE
ASV203	139	1229	27	N	PVP01_1301600_2	1	0	FALSE
ASV204	154	1174	22	N	PVP01_0710900	0	12	FALSE
ASV205	109	1151	32	N	PVP01_1415900	3	0	FALSE
ASV206	94	1149	32	N	HT1	9	0	FALSE
ASV207	82	1146	23	N	PVP01_0912400	1	0	FALSE
ASV208	133	1136	7	N	EIF3K_2	5	0	FALSE
ASV209	63	1128	5	PvP01	pvmrp1_3	0	0	FALSE
ASV210	179	1083	28	PvP01	PVP01_1413100_1	0	0	FALSE
ASV211	134	1066	12	PvP01	PVP01_1301600_1	0	0	FALSE
ASV212	171	1042	16	PvP01	pvmrp1_7	0	0	FALSE
ASV213	194	1017	29	N	SPC25	1	0	FALSE
ASV214	155	1007	6	N	EIF3K_1	2	1	FALSE
ASV215	182	1004	8	PvP01	PVP01_0103700_2	0	0	FALSE
ASV216	168	997	38	N	PVP01_0838400	6	0	FALSE
ASV217	195	995	26	N	PVP01_1144900	6	0	FALSE
ASV218	181	980	4	N	CCR4-3	2	1	FALSE
ASV219	182	971	26	N	ApiAP2_1	0	15	FALSE
ASV220	74	945	12	N	PVP01_0116700	2	0	FALSE
ASV221	179	933	2	N	PVP01_1315600	2	0	TRUE
ASV222	105	910	38	PvP01	GCN20	0	0	FALSE
ASV223	141	906	18	N	SEC24B	3	0	FALSE
ASV224	182	901	26	N	MCA3	1	0	FALSE
ASV225	131	881	8	N	MB2	1	0	FALSE
ASV226	177	880	3	N	LipB	1	0	FALSE
ASV227	115	880	2	N	pvmrp2_1	2	0	FALSE
ASV228	120	871	19	PvP01	PVP01_1261400	0	0	FALSE
ASV229	72	861	30	N	TRAG16_1	8	0	FALSE
ASV230	126	858	15	N	PVP01_0838300	2	0	FALSE
ASV231	125	855	15	N	MSP5	4	0	FALSE
ASV232	170	848	21	N	PVP01_1463400	1	0	FALSE
ASV233	94	840	22	PvP01	MATE	0	0	FALSE
ASV234	129	834	26	PvP01	PVP01_1143300	0	0	FALSE
ASV235	159	831	25	PvP01	CAPH	0	0	FALSE
ASV236	101	829	19	PvP01	PVP01_1418900	0	0	FALSE
ASV237	81	817	20	N	PVP01_0942500	2	0	FALSE
ASV238	157	816	27	PvP01	RAP	0	0	FALSE
ASV239	195	816	2	N	CG2_related	6	0	FALSE
ASV240	78	814	32	PvP01	pvmdr1_5	0	0	FALSE
ASV241	184	802	1	N	CCR4-3	2	2	TRUE
ASV242	126	800	4	PvP01	PVP01_0838300	0	0	FALSE
ASV243	68	799	2	N	B9	2	0	FALSE
ASV244	75	790	12	N	PVP01_0215800_1	1	0	FALSE
ASV245	154	784	5	N	EIF3K_1	1	2	FALSE
ASV246	74	759	6	N	PVP01_0116700	1	0	FALSE
ASV247	166	758	11	PvP01	PVP01_1465800	0	0	FALSE
ASV248	118	735	32	PvP01	PVP01_1344700	0	0	FALSE
ASV249	101	735	1	N	pvpi3k_2	1	0	FALSE
ASV250	94	731	20	PvP01	PCD	0	0	FALSE
ASV251	123	728	25	N	MSP1P	1	0	FALSE
ASV252	62	726	18	N	BDP6	2	0	FALSE
ASV253	58	720	27	N	pvdhps_2	1	0	FALSE
ASV254	139	713	19	PvP01	PVP01_1301600_2	0	0	FALSE
ASV255	171	705	20	PvP01	PVP01_1027500	0	0	FALSE
ASV256	175	699	7	N	VPS53	1	0	FALSE
ASV257	126	686	4	N	PVP01_0838300	2	0	FALSE
ASV258	154	669	21	N	PVP01_0931600	2	0	FALSE
ASV259	181	668	2	N	CCR4-3	0	1	FALSE
ASV260	81	664	10	N	PVP01_0942500	1	0	FALSE
ASV261	179	652	2	N	PVP01_1413100_1	1	0	FALSE
ASV262	141	650	8	N	TRAG38	2	0	FALSE
ASV263	103	649	33	PvP01	FCP	0	0	FALSE
ASV264	78	646	19	N	RON5	1	0	FALSE
ASV265	156	622	2	N	ABCI3	3	0	FALSE
ASV266	96	620	40	PvP01	PVP01_0504000	0	0	FALSE
ASV267	181	620	24	N	FRM1_1	3	0	FALSE
ASV268	205	602	15	N	PVP01_1339900	1	0	FALSE
ASV269	108	594	22	N	pvmrp1_12	1	0	FALSE
ASV270	104	589	26	PvP01	TLAP2	0	0	FALSE
ASV271	118	576	8	N	RCC-PIP	1	0	FALSE
ASV272	182	576	5	N	PVP01_0103700_2	1	0	FALSE
ASV273	141	569	6	N	TRAG38	1	0	FALSE
ASV274	165	565	27	N	PPT	2	0	FALSE
ASV275	198	564	38	PvP01	PVP01_0735100	0	0	FALSE
ASV276	44	547	19	PvP01	pvpi3k_4	0	0	FALSE
ASV277	177	537	5	N	VPS11	1	0	FALSE
ASV278	94	530	3	PvP01	HT1	0	0	FALSE
ASV279	171	529	14	N	NUP637	2	0	FALSE
ASV280	102	526	31	PvP01	SPM1	0	0	FALSE
ASV281	173	521	3	PvP01	RPA2	0	0	FALSE
ASV282	120	512	17	N	PVP01_1261400	1	0	FALSE
ASV283	180	509	1	N	CCR4-3	0	2	FALSE
ASV284	167	502	2	N	PSOP1	1	0	FALSE
ASV285	182	500	7	N	PVP01_0103700_2	1	0	FALSE
ASV286	155	493	2	N	PVP01_0513400	1	0	FALSE
ASV287	134	492	24	N	PVP01_1147300	3	0	FALSE
ASV288	171	487	11	N	FRM2	1	30	FALSE
ASV289	141	475	22	N	FRM2	2	0	FALSE
ASV290	172	468	10	N	PIGO	1	0	FALSE
ASV291	123	467	1	N	MED14	1	0	FALSE
ASV292	143	464	28	N	PVP01_0210500	3	0	FALSE
ASV293	154	462	18	N	PVP01_1329500	1	0	FALSE
ASV294	191	453	25	N	PVP01_1335200	3	0	FALSE
ASV295	144	452	10	N	ATG12	1	0	FALSE
ASV296	105	448	4	PvP01	PVP01_0624000	0	0	FALSE
ASV297	149	446	7	N	SOD2_2	2	4	FALSE
ASV298	71	442	13	N	HDA1	2	0	FALSE
ASV299	145	436	5	N	PVP01_0530700	6	30	FALSE
ASV300	184	430	16	N	ApiAP2_G5	1	0	FALSE
ASV301	178	425	26	N	PVP01_0602200	2	0	FALSE
ASV302	93	424	3	N	pvmrp1_2	1	0	FALSE
ASV303	51	423	2	N	pvpi3k_1	1	0	TRUE
ASV304	145	420	17	N	PVP01_0302700	3	0	FALSE
ASV305	179	419	8	N	FRM1_2	2	0	FALSE
ASV306	126	417	1	N	PVP01_0215600	1	0	FALSE
ASV307	179	416	7	N	FRM1_2	2	0	FALSE
ASV308	140	408	28	N	PVP01_1311000	2	0	FALSE
ASV309	116	398	2	N	PVP01_0306200	1	0	FALSE
ASV310	72	397	13	N	TRAG16_1	2	0	FALSE
ASV311	179	396	14	N	PVP01_1413100_1	1	0	FALSE
ASV312	202	396	7	N	PIGO	1	30	FALSE
ASV313	115	396	2	N	pvmrp2_1	2	0	TRUE
ASV314	132	394	6	N	RBP2a_2	3	0	FALSE
ASV315	163	393	26	N	NSF	2	0	FALSE
ASV316	101	392	2	N	pvpi3k_2	1	0	FALSE
ASV317	44	385	3	N	pvpi3k_4	1	0	FALSE
ASV318	94	385	9	N	PCD	1	0	FALSE
ASV319	68	380	6	N	B9	1	0	FALSE
ASV320	179	377	2	N	PVP01_1315600	1	0	TRUE
ASV321	151	372	16	PvP01	G37	0	0	FALSE
ASV322	179	370	3	N	FRM1_2	2	0	FALSE
ASV323	147	362	20	N	RON1	1	0	FALSE
ASV324	166	355	17	N	SOD2_1	2	0	FALSE
ASV325	172	351	2	N	GAPDH	3	1	FALSE
ASV326	160	338	4	N	RBP2a_1	2	0	FALSE
ASV327	181	336	18	PvP01	FRM1_1	0	0	FALSE
ASV328	183	321	2	N	CCR4-3	1	1	FALSE
ASV329	167	318	2	N	PSOP1	1	0	FALSE
ASV330	112	316	3	N	PVP01_1444400	1	0	FALSE
ASV331	129	310	5	PvP01	PVP01_1256600	0	0	FALSE
ASV332	166	305	2	N	pvpi3k_11	0	1	FALSE
ASV333	131	304	11	PvP01	PVP01_1406900	0	0	FALSE
ASV334	159	303	6	N	CAPH	2	0	FALSE
ASV335	179	301	2	N	PVP01_1315600	3	0	TRUE
ASV336	120	300	6	N	PVP01_1004400	2	0	FALSE
ASV337	200	294	6	N	PVP01_0103700_1	1	0	FALSE
ASV338	162	293	6	N	PVP01_1421800	0	21	FALSE
ASV339	182	293	1	N	CCR4-3	2	0	FALSE
ASV340	156	291	12	N	PVP01_1107600	3	0	FALSE
ASV341	129	282	20	N	PVP01_1101300	1	0	FALSE
ASV342	194	281	2	N	PVP01_0314600	3	0	FALSE
ASV343	151	279	23	N	ORP1	2	0	FALSE
ASV344	126	279	3	N	PVP01_0838300	1	0	FALSE
ASV345	88	275	5	PvP01	pvmdr2_1	0	0	FALSE
ASV346	115	275	1	N	pvmrp2_1	2	0	FALSE
ASV347	148	275	2	N	PVP01_0518900	1	1	FALSE
ASV348	130	268	2	N	MyoB	2	0	FALSE
ASV349	52	267	1	N	pvpi3k_12	2	0	TRUE
ASV350	200	264	4	N	PVP01_0103700_1	1	0	FALSE
ASV351	225	260	2	N	PVP01_1144900	0	30	FALSE
ASV352	174	259	10	N	PKG	1	0	FALSE
ASV353	53	257	6	PvP01	pvmdr1_3	0	0	FALSE
ASV354	149	252	11	PvP01	PSOP24	0	0	FALSE
ASV355	143	251	26	PvP01	PVP01_0119600	0	0	FALSE
ASV356	62	251	6	PvP01	BDP6	0	0	FALSE
ASV357	112	250	2	PvP01	PVP01_1444400	0	0	FALSE
ASV358	179	250	1	N	PVP01_1315600	3	0	TRUE
ASV359	138	249	20	PvP01	SufD	0	0	FALSE
ASV360	126	248	12	N	pvpi3k_13	70	2	FALSE
ASV361	179	245	2	N	PVP01_1315600	1	0	FALSE
ASV362	206	244	10	N	LISP2	5	0	FALSE
ASV363	141	244	4	N	ATG23	1	0	FALSE
ASV364	147	243	3	N	PVP01_1233500	2	0	FALSE
ASV365	191	242	31	N	PVP01_1403000	1	0	FALSE
ASV366	156	240	1	N	ABCI3	3	0	FALSE
ASV367	72	236	9	N	FER2_2	1	0	FALSE
ASV368	141	235	8	N	SEC24B	1	0	FALSE
ASV369	81	233	7	PvP01	PVP01_0942500	0	0	FALSE
ASV370	154	227	19	PvP01	FT1	0	0	FALSE
ASV371	94	225	9	N	MATE	1	0	FALSE
ASV372	145	224	5	N	pvpi3k_7	0	15	FALSE
ASV373	156	222	17	N	PVP01_1107600	2	0	FALSE
ASV374	53	221	14	N	pvmdr1_3	1	0	FALSE
ASV375	171	220	5	N	pvmrp1_7	1	0	FALSE
ASV376	102	219	14	N	SPM1	14	0	FALSE
ASV377	198	219	11	PvP01	CRMP2	0	0	FALSE
ASV378	155	218	6	N	EIF3K_1	1	1	FALSE
ASV379	111	217	2	N	PVP01_1445500	1	0	FALSE
ASV380	179	210	1	N	PVP01_1315600	2	0	TRUE
ASV381	191	206	3	N	GCN1	1	0	FALSE
ASV382	141	205	10	N	SEC24B	2	0	FALSE
ASV383	163	204	5	N	SNRPB2	3	0	FALSE
ASV384	189	204	5	N	PVP01_0527700	1	0	FALSE
ASV385	180	203	1	N	CCR4-3	1	2	FALSE
ASV386	139	203	5	N	PVP01_1301600_2	1	0	FALSE
ASV387	166	200	5	N	PVP01_1465800	1	0	FALSE
ASV388	126	199	1	N	PVP01_0215600	1	0	FALSE
ASV389	150	198	19	N	PVP01_MIT00200_500	1	0	FALSE
ASV390	172	198	2	N	PVP01_1323700	4	0	FALSE
ASV391	148	197	5	N	PVP01_1131100	1	2	FALSE
ASV392	72	195	11	N	FER2_2	1	0	FALSE
ASV393	69	194	27	N	RBP2b_3	1	0	FALSE
ASV394	116	193	12	PvP01	PVP01_0306200	0	0	FALSE
ASV395	100	192	4	N	PVP01_0117000	2	0	FALSE
ASV396	184	190	7	PvP01	ApiAP2_G5	0	0	FALSE
ASV397	123	189	17	N	RBP2b_1	3	0	FALSE
ASV398	157	188	8	N	RAP	1	0	FALSE
ASV399	148	187	7	N	PABP3	2	0	FALSE
ASV400	198	185	12	N	CRMP2	2	0	FALSE
ASV401	133	183	9	N	pvpi3k_13	0	9	FALSE
ASV402	126	175	6	N	PVP01_0215600	4	0	FALSE
ASV403	115	172	7	N	pvpi3k_13	0	9	FALSE
ASV404	122	170	7	N	RIPR	5	0	FALSE
ASV405	181	166	19	N	TRAP	2	0	FALSE
ASV406	172	165	11	N	PVP01_0405000_2	2	0	FALSE
ASV407	71	165	6	N	HDA1	1	0	FALSE
ASV408	109	162	22	PvP01	DBP_1	0	0	FALSE
ASV409	110	162	1	N	PVP01_0109700_1	1	30	FALSE
ASV410	199	161	17	N	PVP01_0908400	1	0	FALSE
ASV411	56	160	1	N	pvabc-e1_3	1	0	FALSE
ASV412	131	157	1	N	MB2	2	0	FALSE
ASV413	167	157	1	N	PSOP1	1	0	FALSE
ASV414	131	156	13	N	PVP01_1406900	2	0	FALSE
ASV415	146	148	11	N	PVP01_1007200	58	4	FALSE
ASV416	156	147	18	PvP01	PVP01_0624400	0	0	FALSE
ASV417	138	147	6	N	SufD	11	0	FALSE
ASV418	94	146	2	N	HT1	1	0	FALSE
ASV419	111	144	10	N	FRM2	1	30	FALSE
ASV420	154	144	2	N	PVP01_1329500	1	0	FALSE
ASV421	76	141	16	N	RBP2b_2	3	0	FALSE
ASV422	181	141	8	N	FRM1_1	1	0	FALSE
ASV423	201	141	6	N	PVP01_1144900	96	6	FALSE
ASV424	189	140	6	N	PVP01_1464400	1	0	FALSE
ASV425	69	138	6	N	RBP2b_3	2	0	FALSE
ASV426	129	138	21	N	TERT	2	0	FALSE
ASV427	172	136	4	N	PVP01_1323700	5	0	FALSE
ASV428	139	135	2	N	PVP01_1345500	1	0	FALSE
ASV429	154	134	2	N	PVP01_1329500	1	0	FALSE
ASV430	170	133	8	N	PVP01_1463400	1	0	FALSE
ASV431	78	133	2	N	pvmdr1_5	1	0	FALSE
ASV432	117	132	16	N	SRPR_alpha	1	0	FALSE
ASV433	175	132	15	N	pvmdr1_2	1	0	FALSE
ASV434	182	132	1	N	CCR4-3	1	0	FALSE
ASV435	149	130	4	N	PVP01_1131100	1	1	FALSE
ASV436	139	129	9	N	AMA1	3	0	FALSE
ASV437	78	129	3	N	RON5	2	0	FALSE
ASV438	110	128	1	N	PVP01_0109700_1	0	30	FALSE
ASV439	175	126	15	N	PVP01_0302300	1	0	FALSE
ASV440	129	126	2	N	TERT	3	0	FALSE
ASV441	171	124	2	N	NUP637	1	0	FALSE
ASV442	117	121	7	N	SRPR_alpha	1	0	FALSE
ASV443	195	121	2	N	CG2_related	4	0	FALSE
ASV444	188	120	2	N	PVP01_1427600	2	0	FALSE
ASV445	159	119	11	N	CAPH	1	0	FALSE
ASV446	136	117	10	N	PVP01_0927200	4	0	FALSE
ASV447	175	116	2	N	pvmdr1_2	1	0	FALSE
ASV448	125	114	7	N	PVP01_0318900	2	0	FALSE
ASV449	140	112	2	PvP01	PVP01_0420500	0	0	FALSE
