amplicon,chromosome,start,end,length,pos,distance
pvpi3k_10,PvP01_10_v1,830162,830217,56,830190,336
pvpi3k_11,PvP01_10_v1,830444,830608,165,830526,385
pvpi3k_12,PvP01_10_v1,830885,830936,52,830911,284
pvpi3k_13,PvP01_10_v1,831133,831256,124,831195,132
pvpi3k_14,PvP01_10_v1,831294,831359,66,831327,6640
CWC2,PvP01_10_v1,837911,838023,113,837967,213638
PVP01_1024100,PvP01_10_v1,1051536,1051674,139,1051605,135870
PVP01_1027500,PvP01_10_v1,1187390,1187560,171,1187475,20828
SUMO,PvP01_10_v1,1208235,1208371,137,1208303,98545
MyoB,PvP01_10_v1,1306783,1306912,130,1306848,96017
VPS11,PvP01_10_v1,1402777,1402953,177,1402865,42160
TRAG18,PvP01_10_v1,1444922,1445128,207,1445025,Inf
PVP01_1101300,PvP01_11_v1,64509,64637,129,64573,78141
ERCC4,PvP01_11_v1,142633,142795,163,142714,17410
pvabc-e1_1,PvP01_11_v1,160096,160152,57,160124,1370
pvabc-e1_3,PvP01_11_v1,161466,161521,56,161494,53389
SRPR_alpha,PvP01_11_v1,214825,214941,117,214883,80093
PVP01_1107600,PvP01_11_v1,294898,295053,156,294976,183464
GCbeta_2,PvP01_11_v1,478391,478489,99,478440,226810
PIP1,PvP01_11_v1,705202,705298,97,705250,163304
PABP3,PvP01_11_v1,868480,868627,148,868554,23437
RAP,PvP01_11_v1,891913,892069,157,891991,246286
SOD2_1,PvP01_11_v1,1138194,1138359,166,1138277,749
SOD2_2,PvP01_11_v1,1138950,1139102,153,1139026,191415
ROM10,PvP01_11_v1,1330379,1330502,124,1330441,5508
PVP01_1131100,PvP01_11_v1,1335874,1336023,150,1335949,81622
PVP01_1133200,PvP01_11_v1,1417478,1417664,187,1417571,130523
PVP01_1136100,PvP01_11_v1,1548021,1548167,147,1548094,140384
NUP637,PvP01_11_v1,1688393,1688563,171,1688478,42450
PVP01_1140700,PvP01_11_v1,1730839,1731017,179,1730928,115046
PVP01_1143300,PvP01_11_v1,1845910,1846038,129,1845974,34834
PVP01_1144400,PvP01_11_v1,1880753,1880862,110,1880808,33125
PVP01_1144900,PvP01_11_v1,1913836,1914030,195,1913933,106179
PVP01_1147300,PvP01_11_v1,2020045,2020178,134,2020112,Inf
TRAG20,PvP01_12_v1,71396,71458,63,71427,415226
pvk13,PvP01_12_v1,486622,486684,63,486653,7229
RAD5,PvP01_12_v1,493810,493953,144,493882,275835
TRAP,PvP01_12_v1,769627,769807,181,769717,26707
MSP7_like,PvP01_12_v1,796352,796496,145,796424,146402
PVP01_1224500,PvP01_12_v1,942779,942873,95,942826,121201
PVP01_1226900,PvP01_12_v1,1063965,1064089,125,1064027,283495
PVP01_1233500,PvP01_12_v1,1347449,1347595,147,1347522,35570
HDA1,PvP01_12_v1,1383057,1383127,71,1383092,78283
ATG12,PvP01_12_v1,1461303,1461446,144,1461375,116097
KIN17,PvP01_12_v1,1577371,1577573,203,1577472,42458
ApiAP2_1,PvP01_12_v1,1619832,1620028,197,1619930,135593
RON11,PvP01_12_v1,1755452,1755594,143,1755523,47998
GAPDH,PvP01_12_v1,1803435,1803607,173,1803521,112237
FCP,PvP01_12_v1,1915707,1915809,103,1915758,187892
FER2_1,PvP01_12_v1,2103576,2103723,148,2103650,587
FER2_2,PvP01_12_v1,2104201,2104272,72,2104237,144918
RON2,PvP01_12_v1,2249084,2249226,143,2249155,80848
PVP01_1256600,PvP01_12_v1,2329939,2330067,129,2330003,112429
pvmdr2_1,PvP01_12_v1,2442388,2442475,88,2442432,529
pvmdr2_3,PvP01_12_v1,2442875,2443046,172,2442961,1072
pvmdr2_5,PvP01_12_v1,2444006,2444059,54,2444033,705
pvmdr2_6,PvP01_12_v1,2444707,2444769,63,2444738,80590
PVP01_1261200,PvP01_12_v1,2525250,2525405,156,2525328,7676
PVP01_1261400,PvP01_12_v1,2532944,2533063,120,2533004,10281
CLK1,PvP01_12_v1,2543228,2543341,114,2543285,201628
NCS2,PvP01_12_v1,2744852,2744973,122,2744913,80114
PVP01_1267700,PvP01_12_v1,2824949,2825105,157,2825027,119131
PVP01_1270000,PvP01_12_v1,2944087,2944228,142,2944158,Inf
PVP01_1301600_1,PvP01_13_v1,65827,65960,134,65894,15448
PVP01_1301600_2,PvP01_13_v1,81273,81411,139,81342,75057
G37,PvP01_13_v1,156324,156474,151,156399,222576
PVP01_1308100,PvP01_13_v1,378871,379079,209,378975,17410
CIA1,PvP01_13_v1,396303,396467,165,396385,71130
PIGM,PvP01_13_v1,467455,467575,121,467515,46470
PVP01_1311000,PvP01_13_v1,513915,514054,140,513985,70343
PKG,PvP01_13_v1,584241,584414,174,584328,133193
PVP01_1315600,PvP01_13_v1,717432,717610,179,717521,74099
PVP01_1316900,PvP01_13_v1,791557,791682,126,791620,10641
LRR5,PvP01_13_v1,802184,802337,154,802261,141789
PVP01_1320900,PvP01_13_v1,943970,944129,160,944050,118788
PVP01_1323700,PvP01_13_v1,1062752,1062923,172,1062838,134970
P113,PvP01_13_v1,1197722,1197893,172,1197808,49492
PVP01_1329500,PvP01_13_v1,1247223,1247376,154,1247300,162163
MCA3,PvP01_13_v1,1409372,1409553,182,1409463,116872
PVP01_1335200,PvP01_13_v1,1526240,1526430,191,1526335,214641
PVP01_1339900,PvP01_13_v1,1740874,1741078,205,1740976,56210
ApiAP2_G2,PvP01_13_v1,1797133,1797239,107,1797186,159764
PVP01_1344700,PvP01_13_v1,1956891,1957008,118,1956950,24469
PVP01_1345500,PvP01_13_v1,1981350,1981488,139,1981419,6966
CAPD2,PvP01_13_v1,1988341,1988428,88,1988385,Inf
PVP01_1401400,PvP01_14_v1,57581,57745,165,57663,58657
RBP2a_1,PvP01_14_v1,116240,116399,160,116320,3772
RBP2a_2,PvP01_14_v1,120026,120157,132,120092,22039
PVP01_1403000,PvP01_14_v1,142036,142226,191,142131,108121
CAPH,PvP01_14_v1,250173,250331,159,250252,54028
GCN1,PvP01_14_v1,304185,304375,191,304280,28210
PVP01_1406900,PvP01_14_v1,332425,332555,131,332490,190794
EMC7,PvP01_14_v1,523232,523336,105,523284,53986
PVP01_1413100_1,PvP01_14_v1,577181,577359,179,577270,475
PVP01_1413100_2,PvP01_14_v1,577671,577819,149,577745,97895
TERT,PvP01_14_v1,675576,675704,129,675640,27484
PVP01_1415900,PvP01_14_v1,703070,703178,109,703124,120407
PVP01_1418900,PvP01_14_v1,823481,823581,101,823531,119738
PVP01_1421800,PvP01_14_v1,943199,943339,141,943269,84015
PVP01_1423300,PvP01_14_v1,1027251,1027317,67,1027284,149834
PVP01_1427600,PvP01_14_v1,1177024,1177211,188,1177118,93035
pvdhps_1,PvP01_14_v1,1270111,1270194,84,1270153,763
pvdhps_2,PvP01_14_v1,1270887,1270944,58,1270916,1278
pvdhps_4,PvP01_14_v1,1272166,1272221,56,1272194,23558
PPM5,PvP01_14_v1,1295723,1295781,59,1295752,46981
PVP01_1430700,PvP01_14_v1,1342657,1342809,153,1342733,89860
PIGO,PvP01_14_v1,1432507,1432678,172,1432593,33855
PVP01_1434400,PvP01_14_v1,1466400,1466496,97,1466448,133679
FRM2,PvP01_14_v1,1600057,1600197,141,1600127,40950
PVP01_1438700,PvP01_14_v1,1641012,1641142,131,1641077,246590
PVP01_1443400,PvP01_14_v1,1887614,1887719,106,1887667,35704
PVP01_1444400,PvP01_14_v1,1923315,1923426,112,1923371,46525
PVP01_1445500,PvP01_14_v1,1969841,1969951,111,1969896,59681
PVP01_1446900,PvP01_14_v1,2029522,2029632,111,2029577,28056
pvmrp2_1,PvP01_14_v1,2057576,2057690,115,2057633,262
pvmrp2_2,PvP01_14_v1,2057843,2057947,105,2057895,148838
CG2_related,PvP01_14_v1,2206636,2206830,195,2206733,215978
PWP1,PvP01_14_v1,2422649,2422773,125,2422711,72463
ApiAP2_2,PvP01_14_v1,2495103,2495245,143,2495174,236245
PVP01_1463400,PvP01_14_v1,2731334,2731503,170,2731419,28347
PVP01_1464400,PvP01_14_v1,2759672,2759860,189,2759766,48477
PVP01_1465800,PvP01_14_v1,2808160,2808325,166,2808243,86540
PVP01_1467900,PvP01_14_v1,2894719,2894847,129,2894783,22310
DRS1,PvP01_14_v1,2917024,2917161,138,2917093,64703
PVP01_1469700,PvP01_14_v1,2981763,2981828,66,2981796,Inf
PVP01_MIT00200_500,PvP01_MIT_v1,149,298,150,224,Inf
